leiden,n_sub,n_total,prop
29,51,225,0.22666666666666666
12,27,995,0.027135678391959798
21,10,414,0.024154589371980676
3,7,2390,0.0029288702928870294
4,6,2232,0.002688172043010753
22,1,380,0.002631578947368421
18,1,672,0.001488095238095238
14,1,913,0.001095290251916758
1,3,3033,0.0009891196834817012
2,0,2754,0.0
0,0,4573,0.0
8,0,1357,0.0
5,0,1970,0.0
11,0,1061,0.0
10,0,1115,0.0
15,0,778,0.0
13,0,967,0.0
16,0,770,0.0
9,0,1117,0.0
7,0,1417,0.0
6,0,1723,0.0
20,0,433,0.0
19,0,582,0.0
17,0,767,0.0
23,0,334,0.0
25,0,283,0.0
26,0,274,0.0
27,0,251,0.0
24,0,314,0.0
28,0,240,0.0
30,0,194,0.0
31,0,186,0.0
32,0,147,0.0
33,0,132,0.0
34,0,120,0.0
35,0,71,0.0
36,0,49,0.0
